Id V1 V2 V3
1853 281 532 149 
1854 342 532 48 
1855 342 149 532 
1857 215 141 533 
1858 289 67 533 
1859 289 533 141 
1861 150 534 273 
1862 411 534 46 
1863 411 273 534 
1865 4 535 290 
1866 290 536 44 
1868 536 290 535 
1869 536 535 150 
1870 273 44 536 
1871 273 536 150 
1872 274 46 537 
1873 274 537 151 
1874 291 537 46 
1875 291 151 537 
1876 274 538 48 
1877 274 151 538 
1878 363 48 538 
1879 363 538 151 
1880 291 49 539 
1881 291 539 151 
1882 385 539 49 
1883 385 151 539 
1884 292 43 540 
1885 292 540 152 
1886 296 540 43 
1887 296 152 540 
1889 230 541 152 
1890 292 541 9 
1891 292 152 541 
1893 230 152 542 
1895 214 542 152 
1896 293 74 543 
1897 293 543 153 
1898 275 543 74 
1899 275 153 543 
1900 275 73 544 
1901 275 544 153 
1902 344 544 73 
1903 344 153 544 
1904 293 545 53 
1905 293 153 545 
1906 345 53 545 
1907 345 545 153 
1908 294 546 65 
1909 294 136 546 
1910 256 65 546 
1911 256 546 136 
1912 295 64 547 
1913 295 547 154 
1914 260 547 64 
1915 260 154 547 
1916 260 66 548 
1917 260 548 154 
1918 481 548 66 
1919 481 154 548 
1920 295 549 5 
1921 295 154 549 
1922 482 5 549 
1923 482 549 154 
1924 296 42 550 
1925 296 550 152 
1927 214 152 550 
1928 299 57 551 
1929 299 551 155 
1930 298 551 57 
1931 298 155 551 
1932 298 81 552 
1933 298 552 155 
1934 297 552 81 
1935 297 155 552 
1936 299 553 83 
1937 299 155 553 
1938 243 83 553 
1939 243 553 155 
1940 243 554 79 
1941 243 155 554 
1942 297 79 554 
1943 297 554 155 
1944 300 555 54 
1945 300 98 555 
1947 195 555 98 
1948 272 556 44 
1949 272 156 556 
1951 182 556 156 
1953 182 156 557 
1954 378 41 557 
1955 378 557 156 
1956 272 42 558 
1957 272 558 156 
1958 296 558 42 
1959 296 156 558 
1960 301 559 26 
1961 301 157 559 
1962 492 26 559 
1963 492 559 157 
1964 263 22 560 
1965 263 560 157 
1966 427 560 22 
1967 427 157 560 
1968 301 21 561 
1969 301 561 157 
1970 263 561 21 
1971 263 157 561 
1972 302 60 562 
1973 302 562 158 
1974 303 562 60 
1975 303 158 562 
1976 303 86 563 
1977 303 563 158 
1978 304 563 86 
1979 304 158 563 
1980 302 564 88 
1981 302 158 564 
1982 233 88 564 
1983 233 564 158 
1984 233 565 84 
1985 233 158 565 
1986 304 84 565 
1987 304 565 158 
1989 186 159 566 
1990 474 59 566 
1991 474 566 159 
1992 305 53 567 
1993 305 567 159 
1994 345 567 53 
1995 345 159 567 
1997 186 568 159 
1998 305 568 54 
1999 305 159 568 
2000 307 13 569 
2001 307 569 160 
2003 226 160 569 
2004 306 570 20 
2005 306 160 570 
2007 226 570 160 
2008 307 571 24 
2009 307 160 571 
2010 267 24 571 
2011 267 571 160 
2012 306 26 572 
2013 306 572 160 
2014 267 572 26 
2015 267 160 572 
2016 266 63 573 
2017 266 573 161 
2018 294 574 5 
2019 294 161 574 
2020 266 575 65 
2021 266 161 575 
2022 294 65 575 
2023 294 575 161 
2024 288 34 576 
2025 288 576 162 
2026 308 576 34 
2027 308 162 576 
2028 308 31 577 
2029 308 577 162 
2030 375 577 31 
2032 288 578 27 
2033 288 162 578 
2035 210 578 162 
2036 290 579 4 
2037 290 163 579 
2038 383 4 579 
2039 383 579 163 
2040 309 580 44 
2041 309 163 580 
2042 290 44 580 
2043 290 580 163 
2044 309 45 581 
2045 309 581 163 
2046 471 581 45 
2047 471 163 581 
2049 176 164 582 
2050 377 29 582 
2051 377 582 164 
2052 310 25 583 
2053 310 583 164 
2054 376 583 25 
2055 376 164 583 
2056 310 584 28 
2057 310 164 584 
2059 176 584 164 
2060 311 31 585 
2061 311 585 134 
2063 166 134 585 
2064 312 66 586 
2065 312 586 165 
2066 478 586 66 
2067 478 165 586 
2068 313 587 35 
2069 313 165 587 
2070 480 35 587 
2071 480 587 165 
2072 313 32 588 
2073 313 588 165 
2074 312 588 32 
2075 312 165 588 
2076 308 589 31 
2077 308 166 589 
2078 585 31 589 
2079 585 589 166 
2080 314 35 590 
2081 314 590 166 
2082 476 590 35 
2083 476 166 590 
2084 314 591 34 
2085 314 166 591 
2086 308 34 591 
2087 308 591 166 
2088 310 28 592 
2089 310 592 167 
2090 315 592 28 
2091 315 167 592 
2092 310 593 25 
2093 310 167 593 
2094 315 23 594 
2095 315 594 167 
2096 298 595 81 
2097 298 123 595 
2098 265 81 595 
2099 265 595 123 
2101 250 168 596 
2102 500 85 596 
2103 500 596 168 
2104 250 84 597 
2105 250 597 168 
2106 304 597 84 
2107 304 168 597 
2108 304 86 598 
2109 304 598 168 
2110 499 598 86 
2111 499 168 598 
2112 264 85 599 
2113 264 599 169 
2114 270 599 85 
2115 270 169 599 
2116 264 600 73 
2117 264 169 600 
